"GMHI_good","GMHI_bad","Frac_of_core_functions_among_all","Frac_of_core_functions_found","Species_found_together","Func_contributions_per_species","shadowMax","shadowMean","shadowMin"
0.0679605819184577,0.00271828806358546,0.146161097673807,0.178670190058764,0.039301325880253,0.156459392552001,0.200787121878461,0.0681215206421888,0.0123843607139483
0.0924389378044981,0.00879624693161467,0.28253371179708,0.147065778103053,0.128861667809161,0.134564062423929,0.101054067579034,0.0342899325217773,0
0.00852465081957492,0.0374574111935836,0.0136829144347356,0.0480529988707339,0.0180660675152665,0.204346107967099,0.351232725752586,0.111644974866501,0
0.0641787122551501,0.00559631845936647,0.0748172385017901,0.14300136334323,0.0572286425344481,0.145456068025408,0.167051580287318,0.0849536094801012,0.000279833990780966
0.0603844446962425,0.0112844384433691,0.136462890399075,0.117136939696847,0.0104843123020824,0.146154216573487,0.17897370500893,0.0863487929814827,0
0.0942412102336395,0.00395615326426887,0.125751097026856,0.0969855995768001,0.0415636716441838,0.13819157338052,0.196094635599716,0.0832184491456219,0.0135449732000716
0.0822185566098748,8.18344417908873e-05,0.204761598196515,0.182127736463717,0.0372554021094342,0.148466181241643,0.11590769754016,0.0575147818228376,0
0,0,0.0124277213360009,0.00208104309155418,0.0201105940609817,0.198232040683972,0.594902924133865,0.127858100137915,0
0.0950816601539154,0,0.191650441182571,0.113293707548419,0.00375895601867522,0.136102266148548,0.157240231682521,0.076685494824645,0
0.0631639957813351,0.0031284914548892,0.151907374068913,0.00258643462641297,0.0686863533260011,0.13873116282504,0.293436673319222,0.0952993646529014,0
-Inf,-Inf,0.188047003969792,0.0773294491872947,0.0146071428861357,0.0631758678494604,0.261103488374732,0.0821050670134146,0
-Inf,-Inf,0.0282096723405362,0.200720310132044,0,0.0343395481536755,0.181947095550746,0.0920913086717181,0.0002063589739607
-Inf,-Inf,0.0409022087973371,0.11680947534264,0,0.154222621118491,0.24702106980794,0.0860082118426915,0
-Inf,-Inf,0.0444788726225729,0.0718714677805628,0.035264801856078,0.0699866308818614,0.479192353058283,0.0972997783573656,0
-Inf,-Inf,0.236828144288004,0.20768569376407,-Inf,0.185015342789732,0.149181313256546,0.0617451365263657,0.000293832662360222
-Inf,-Inf,0.0750180410888331,0.138503703913581,-Inf,0.0860457822652128,0.18278138287679,0.116738745455395,0.0730597661845771
-Inf,-Inf,0.070652787320245,0.083214349586538,-Inf,0.100616415608642,0.333845138035634,0.124252741247429,0.0143638389150769
-Inf,-Inf,0.112796225029077,0.0603241327441726,-Inf,0.0492123204863522,0.185327834293883,0.129611220290066,0.0242989170523672
-Inf,-Inf,0.126020887048313,0.160890451774963,-Inf,0.195390096443446,0.304000814383936,0.086283094122213,0.000635499589297602
-Inf,-Inf,0.254061282412897,0.10832151530667,-Inf,0.174800830382123,0.167437461310886,0.0771360619830517,0
-Inf,-Inf,0.113449211665215,0.148150912295049,-Inf,0.177683853629362,0.159920251874892,0.0934526704017291,0
-Inf,-Inf,0.147134618251526,0.0369902664772813,-Inf,0.135028561539769,0.195374381072317,0.113474425621904,0.00342245568343866
-Inf,-Inf,0.143356589973381,0.223769341651491,-Inf,0.140310769102668,0.189499627992945,0.0820938832120767,0
-Inf,-Inf,0.0635280525631755,0.0609008643696075,-Inf,0.175443225311694,0.251809126360184,0.116687976292587,0.00478321137529633
-Inf,-Inf,0.0628901270477075,0.0585320061686946,-Inf,0.126618891350628,0.241380979805366,0.125326495905495,0.0307255252380536
-Inf,-Inf,0.0355959295423869,0.27639733320055,-Inf,0.135566888386793,0.181788602688425,0.092073308145045,0.0373067170399327
-Inf,-Inf,-Inf,0.252084775541041,-Inf,-Inf,0.336288284759369,0.0934894030573698,0
-Inf,-Inf,-Inf,0.068402876932114,-Inf,-Inf,0.269318882949554,0.116449640383486,0.00347050168739719
-Inf,-Inf,-Inf,0.16818560474106,-Inf,-Inf,0.210186170611067,0.103976799407368,0.0121610503282806
